trial_id,method,source_size,retained_size,removed_count,library_reduction,budget_kind,budget_fraction,budget_amount,passive_value,research_option_premium,total_value,signed_operational_loss,signed_generative_loss,signed_total_dynamic_loss,operational_loss,generative_loss,total_dynamic_loss,future_value_loss,retained_ids,decomposition_gate
62,approx_generative,4,1,3,3//4,research_option_premium,1//20,0//1,0//1,0//1,0//1,175//16,0//1,175//16,175//16,0//1,175//16,true,inactive,true
63,frontier_only,4,3,1,1//4,none,0//1,0//1,2275//256,27//1024,9127//1024,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_1;strategy_2,true
63,innovation_safe,4,3,1,1//4,none,0//1,0//1,2275//256,27//1024,9127//1024,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_1;strategy_2,true
63,approx_operational,4,3,1,1//4,passive_value,1//10,455//512,2275//256,27//1024,9127//1024,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_1;strategy_2,true
63,approx_generative,4,3,1,1//4,research_option_premium,1//20,27//20480,2275//256,27//1024,9127//1024,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_1;strategy_2,true
64,frontier_only,5,3,2,2//5,none,0//1,0//1,175//16,0//1,175//16,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_3;strategy_4,true
64,innovation_safe,5,3,2,2//5,none,0//1,0//1,175//16,0//1,175//16,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_3;strategy_4,true
64,approx_operational,5,3,2,2//5,passive_value,1//10,35//32,175//16,0//1,175//16,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_3;strategy_4,true
64,approx_generative,5,1,4,4//5,research_option_premium,1//20,0//1,0//1,0//1,0//1,175//16,0//1,175//16,175//16,0//1,175//16,true,inactive,true
65,frontier_only,6,2,4,2//3,none,0//1,0//1,175//16,0//1,175//16,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_4,true
65,innovation_safe,6,2,4,2//3,none,0//1,0//1,175//16,0//1,175//16,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_4,true
