prefix_n,scope,factor,level,estimand,statistic_kind,event_count,non_event_count,observation_count,exact_sum,estimate,exact_sample_variance,interval_kind,interval_low,interval_high,mcse,warning_code,warning,simulation_precision_only
100,factor,duration,short,frontier_only_mean_compression_ratio,mean,50,0,50,125//6,5//12,25//3528,,,,0.0119047619048,,,true
100,factor,duration,short,innovation_safe_mean_compression_ratio,mean,50,0,50,17//3,17//150,137//7350,,,,0.019307747555,,,true
100,factor,duration,long,frontier_positive_loss_frequency,frequency,9,41,50,9//1,9//50,,Wilson descriptive simulation interval,0.0977019267023,0.307960536743,,sparse_events,event or nonevent support is below the registered sparse-count threshold,true
100,factor,duration,long,mean_positive_frontier_loss,mean,9,41,9,18407//16384,18407//147456,16127761//4831838208,,,,0.0192579295179,sparse_mean_support,mean support is below the registered Monte Carlo precision threshold,true
100,factor,duration,long,innovation_safe_loss_frequency,frequency,0,50,50,0//1,0//1,,Wilson descriptive simulation interval,0,0.0713475991334,,sparse_events,event or nonevent support is below the registered sparse-count threshold,true
100,factor,duration,long,silent_generative_asset_frequency,frequency,9,241,250,9//1,9//250,,Wilson descriptive simulation interval,0.01905327953,0.0669904224018,,sparse_events,event or nonevent support is below the registered sparse-count threshold,true
100,factor,duration,long,substitution_frequency,frequency,10,40,50,10//1,1//5,,Wilson descriptive simulation interval,0.112437500158,0.330371059322,,sparse_events,event or nonevent support is below the registered sparse-count threshold,true
100,factor,duration,long,complementarity_frequency,frequency,0,50,50,0//1,0//1,,Wilson descriptive simulation interval,0,0.0713475991334,,sparse_events,event or nonevent support is below the registered sparse-count threshold,true
100,factor,duration,long,frontier_only_mean_compression_ratio,mean,50,0,50,125//6,5//12,25//3528,,,,0.0119047619048,,,true
100,factor,duration,long,innovation_safe_mean_compression_ratio,mean,50,0,50,19//3,19//150,23//1225,,,,0.0193780856661,,,true
100,factor,admission,low,frontier_positive_loss_frequency,frequency,13,40,53,13//1,13//53,,Wilson descriptive simulation interval,0.149329021081,0.375665576874,,sparse_events,event or nonevent support is below the registered sparse-count threshold,true
100,factor,admission,low,mean_positive_frontier_loss,mean,13,40,13,92117//12288,92117//159744,2340833147//31406948352,,,,0.0757182700456,sparse_mean_support,mean support is below the registered Monte Carlo precision threshold,true
100,factor,admission,low,innovation_safe_loss_frequency,frequency,0,53,53,0//1,0//1,,Wilson descriptive simulation interval,0,0.0675819885765,,sparse_events,event or nonevent support is below the registered sparse-count threshold,true
100,factor,admission,low,silent_generative_asset_frequency,frequency,13,252,265,13//1,13//265,,Wilson descriptive simulation interval,0.0288899870748,0.0821102245428,,sparse_events,event or nonevent support is below the registered sparse-count threshold,true
100,factor,admission,low,substitution_frequency,frequency,13,40,53,13//1,13//53,,Wilson descriptive simulation interval,0.149329021081,0.375665576874,,sparse_events,event or nonevent support is below the registered sparse-count threshold,true
100,factor,admission,low,complementarity_frequency,frequency,0,53,53,0//1,0//1,,Wilson descriptive simulation interval,0,0.0675819885765,,sparse_events,event or nonevent support is below the registered sparse-count threshold,true
100,factor,admission,low,frontier_only_mean_compression_ratio,mean,53,0,53,67//3,67//159,175//24804,,,,0.0115377261903,,,true
100,factor,admission,low,innovation_safe_mean_compression_ratio,mean,53,0,53,41//6,41//318,19//954,,,,0.0193849496949,,,true
100,factor,admission,high,frontier_positive_loss_frequency,frequency,32,15,47,32//1,32//47,,Wilson descriptive simulation interval,0.538326568969,0.796046212504,,sparse_nonevents,event or nonevent support is below the registered sparse-count threshold,true
100,factor,admission,high,mean_positive_frontier_loss,mean,32,15,32,4134797//98304,4134797//3145728,13570378484327//9586367004672,,,,0.21032648569,sparse_mean_support,mean support is below the registered Monte Carlo precision threshold,true
100,factor,admission,high,innovation_safe_loss_frequency,frequency,0,47,47,0//1,0//1,,Wilson descriptive simulation interval,0,0.075557604164,,sparse_events,event or nonevent support is below the registered sparse-count threshold,true
100,factor,admission,high,silent_generative_asset_frequency,frequency,32,203,235,32//1,32//235,,Wilson descriptive simulation interval,0.0981341755267,0.185909721859,,,,true
100,factor,admission,high,substitution_frequency,frequency,34,13,47,34//1,34//47,,Wilson descriptive simulation interval,0.582414363751,0.830634366303,,sparse_nonevents,event or nonevent support is below the registered sparse-count threshold,true
100,factor,admission,high,complementarity_frequency,frequency,0,47,47,0//1,0//1,,Wilson descriptive simulation interval,0,0.075557604164,,sparse_events,event or nonevent support is below the registered sparse-count threshold,true
100,factor,admission,high,frontier_only_mean_compression_ratio,mean,47,0,47,58//3,58//141,275//38916,,,,0.012261774376,,,true
100,factor,admission,high,innovation_safe_mean_compression_ratio,mean,47,0,47,31//6,31//282,671//38916,,,,0.0191535038693,,,true
100,factor,persistence,low,frontier_positive_loss_frequency,frequency,24,28,52,24//1,6//13,,Wilson descriptive simulation interval,0.333404746818,0.59496388673,,,,true
100,factor,persistence,low,mean_positive_frontier_loss,mean,24,28,24,1266403//49152,1266403//1179648,1622046207119//1333587345408,,,,0.225120610138,sparse_mean_support,mean support is below the registered Monte Carlo precision threshold,true
100,factor,persistence,low,innovation_safe_loss_frequency,frequency,0,52,52,0//1,0//1,,Wilson descriptive simulation interval,6.93889390391e-18,0.0687922361239,,sparse_events,event or nonevent support is below the registered sparse-count threshold,true
100,factor,persistence,low,silent_generative_asset_frequency,frequency,24,236,260,24//1,6//65,,Wilson descriptive simulation interval,0.0628154822265,0.133671677344,,,,true
100,factor,persistence,low,substitution_frequency,frequency,25,27,52,25//1,25//52,,Wilson descriptive simulation interval,0.351041144455,0.613143172319,,,,true
100,factor,persistence,low,complementarity_frequency,frequency,0,52,52,0//1,0//1,,Wilson descriptive simulation interval,6.93889390391e-18,0.0687922361239,,sparse_events,event or nonevent support is below the registered sparse-count threshold,true
100,factor,persistence,low,frontier_only_mean_compression_ratio,mean,52,0,52,43//2,43//104,25//3536,,,,0.0116603665883,,,true
100,factor,persistence,low,innovation_safe_mean_compression_ratio,mean,52,0,52,37//6,37//312,601//31824,,,,0.0190571600464,,,true
100,factor,persistence,high,frontier_positive_loss_frequency,frequency,21,27,48,21//1,7//16,,Wilson descriptive simulation interval,0.307012690407,0.577249825802,,,,true
100,factor,persistence,high,mean_positive_frontier_loss,mean,21,27,21,2338927//98304,2338927//2064384,1769195687471//1623497637888,,,,0.227799338248,sparse_mean_support,mean support is below the registered Monte Carlo precision threshold,true
100,factor,persistence,high,innovation_safe_loss_frequency,frequency,0,48,48,0//1,0//1,,Wilson descriptive simulation interval,6.93889390391e-18,0.0741001296661,,sparse_events,event or nonevent support is below the registered sparse-count threshold,true
100,factor,persistence,high,silent_generative_asset_frequency,frequency,21,219,240,21//1,7//80,,Wilson descriptive simulation interval,0.0579418359566,0.130055147995,,,,true
100,factor,persistence,high,substitution_frequency,frequency,22,26,48,22//1,11//24,,Wilson descriptive simulation interval,0.325752422929,0.597089254544,,,,true
100,factor,persistence,high,complementarity_frequency,frequency,0,48,48,0//1,0//1,,Wilson descriptive simulation interval,6.93889390391e-18,0.0741001296661,,sparse_events,event or nonevent support is below the registered sparse-count threshold,true
100,factor,persistence,high,frontier_only_mean_compression_ratio,mean,48,0,48,121//6,121//288,575//81216,,,,0.0121448597981,,,true
100,factor,persistence,high,innovation_safe_mean_compression_ratio,mean,48,0,48,35//6,35//288,1511//81216,,,,0.019687511075,,,true
200,factor,frontier_density,sparse,frontier_positive_loss_frequency,frequency,50,50,100,50//1,1//2,,Wilson descriptive simulation interval,0.403831530366,0.596168469634,,,,true
200,factor,frontier_density,sparse,mean_positive_frontier_loss,mean,50,50,50,4764657//65536,4764657//3276800,69744384230803//31568009625600,,,,0.210206441267,,,true
200,factor,frontier_density,sparse,innovation_safe_loss_frequency,frequency,0,100,100,0//1,0//1,,Wilson descriptive simulation interval,3.46944695195e-18,0.036993498207,,sparse_events,event or nonevent support is below the registered sparse-count threshold,true
200,factor,frontier_density,sparse,silent_generative_asset_frequency,frequency,50,450,500,50//1,1//10,,Wilson descriptive simulation interval,0.0766775627373,0.129421909632,,,,true
200,factor,frontier_density,sparse,substitution_frequency,frequency,32,68,100,32//1,8//25,,Wilson descriptive simulation interval,0.23669147325,0.416626186105,,,,true
200,factor,frontier_density,sparse,complementarity_frequency,frequency,18,82,100,18//1,9//50,,Wilson descriptive simulation interval,0.117002254989,0.266673583863,,sparse_events,event or nonevent support is below the registered sparse-count threshold,true
200,factor,frontier_density,sparse,frontier_only_mean_compression_ratio,mean,100,0,100,50//1,1//2,0//1,,,,0,,,true
